account_code,account_name,account_type,normal_balance,amount,fiscal_year
4000,Revenue,Revenue,Credit,245122000000,2024
5000,Cost of Revenue,COGS,Debit,74114000000,2024
5500,Gross Profit,Gross Profit,Credit,171008000000,2024
6100,Research & Development,Operating Expense,Debit,29510000000,2024
6200,Sales & Marketing,Operating Expense,Debit,24456000000,2024
6300,General & Administrative,Operating Expense,Debit,7609000000,2024
7000,Operating Income,Operating Income,Credit,109433000000,2024
8000,Income Tax Expense,Tax,Debit,19651000000,2024
9000,Net Income,Net Income,Credit,88136000000,2024
