HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,DESCRIPTION,LEVEL_1,LEVEL_2,SOURCE_COLUMN,ENTITY_TYPE,IS_LEAF_NODE,SORT_ORDER
GL_SERVICE_INCOME,Service Income,GL,Maps account_code to 'Service Income',gl,Service Income,account_code,account,true,29
GL_SAND_SALES,Sand Sales,GL,Maps account_code to 'Sand Sales',gl,Sand Sales,account_code,account,true,30
GL_RENTAL_INCOME,Rental Income,GL,Maps account_code to 'Rental Income',gl,Rental Income,account_code,account,true,31
GL_WATER_INCOME,Water Income,GL,Maps account_code to 'Water Income',gl,Water Income,account_code,account,true,32
GL_SWD_INCOME,SWD Income,GL,Maps account_code to 'SWD Income',gl,SWD Income,account_code,account,true,33
GL_CONSULTING_INCOME,Consulting Income,GL,Maps account_code to 'Consulting Income',gl,Consulting Income,account_code,account,true,34
GL_FUEL_INCOME,Fuel Income,GL,Maps account_code to 'Fuel Income',gl,Fuel Income,account_code,account,true,35
GL_HEDGE_GAINS,Hedge Gains,GL,Maps account_code to 'Hedge Gains',gl,Hedge Gains,account_code,account,true,36
GL_INTEREST_HEDGE_GAINS,Interest Hedge Gains,GL,Maps account_code to 'Interest Hedge Gains',gl,Interest Hedge Gains,account_code,account,true,37
GL_UNREALIZED_HEDGE_GAINS,Unrealized Hedge Gains,GL,Maps account_code to 'Unrealized Hedge Gains',gl,Unrealized Hedge Gains,account_code,account,true,38
GL_COPAS,COPAS,GL,Maps account_code to 'COPAS',gl,COPAS,account_code,account,true,39
GL_COMPRESSOR_RECOVERY_INCOM,Compressor Recovery Income,GL,Maps account_code to 'Compressor Recovery Income',gl,Compressor Recovery Income,account_code,account,true,40
GL_RIG_TERMINATION_PENALTIES,Rig Termination Penalties,GL,Maps account_code to 'Rig Termination Penalties',gl,Rig Termination Penalties,account_code,account,true,41
GL_GATHERING_FEE_INCOME,Gathering Fee Income,GL,Maps account_code to 'Gathering Fee Income',gl,Gathering Fee Income,account_code,account,true,42
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,GL,Maps account_code to 'Oil Severance Taxes',gl,Oil Severance Taxes,account_code,account,true,43
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,GL,Maps account_code to 'Gas Severance Taxes',gl,Gas Severance Taxes,account_code,account,true,44
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,GL,Maps account_code to 'NGL Severance Taxes',gl,NGL Severance Taxes,account_code,account,true,45
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,GL,Maps account_code to 'Ad Valorem Taxes',gl,Ad Valorem Taxes,account_code,account,true,46
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,GL,Maps account_code to 'Oil Conservation Taxes',gl,Oil Conservation Taxes,account_code,account,true,47
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,GL,Maps account_code to 'Gas Conservation Taxes',gl,Gas Conservation Taxes,account_code,account,true,48
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,GL,Maps account_code to 'NGL Conservation Taxes',gl,NGL Conservation Taxes,account_code,account,true,49
GL_COMMODITY_FEES,Commodity Fees,GL,Maps account_code to 'Commodity Fees',gl,Commodity Fees,account_code,account,true,50
GL_NON-OP_FEES,Non-Op Fees,GL,Maps account_code to 'Non-Op Fees',gl,Non-Op Fees,account_code,account,true,51
GL_CONSULTING_EXPENSES,Consulting Expenses,GL,Maps account_code to 'Consulting Expenses',gl,Consulting Expenses,account_code,account,true,52
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,GL,Maps account_code to 'Lease Operating Expenses',gl,Lease Operating Expenses,account_code,account,true,53
