HIERARCHY_ID,HIERARCHY_NAME,PARENT_ID,SOURCE_COLUMN,IS_LEAF_NODE
LOS_MAP_CHM,CHM,LOS_MAP,account_billing_category_code,true
LOS_MAP_CNOP,CNOP,LOS_MAP,account_billing_category_code,true
LOS_MAP_RNM,RNM,LOS_MAP,account_billing_category_code,true
LOS_MAP_NLOE,NLOE,LOS_MAP,account_billing_category_code,true
LOS_MAP_SWD,SWD,LOS_MAP,account_billing_category_code,true
LOS_MAP_CMP,CMP,LOS_MAP,account_billing_category_code,true
LOS_MAP_ADV,ADV,LOS_MAP,account_billing_category_code,true
LOS_MAP_SVC,SVC,LOS_MAP,account_billing_category_code,true
LOS_MAP_CFRC,CFRC,LOS_MAP,account_billing_category_code,true
AU_OP,AU_Op,,cost_center_area_code,false
"AU_OP_TRUE
________ELSE_FALSE","TRUE
        ELSE FALSE",AU_OP,cost_center_area_code,true
A3_OP,A3_Op,,cost_center_area_code,false
"A3_OP_TRUE
________ELSE_FALSE","TRUE
        ELSE FALSE",A3_OP,cost_center_area_code,true
FUND,fund,,corp_code,false
FUND_A3,A3,FUND,corp_code,true
FUND_AU,AU,FUND,corp_code,true
FUND_4HC,4HC,FUND,corp_code,true
SEGMENT,Segment,,corp_code,false
SEGMENT_UPSTREAM,Upstream,SEGMENT,corp_code,true
SEGMENT_SERVICES,Services,SEGMENT,corp_code,true
SEGMENT_MIDSTREAM,Midstream,SEGMENT,corp_code,true
AU_STAKE,AU_Stake,,corp_code,false
"AU_STAKE_1
________WHEN_CORP_CODE_","1
        WHEN corp_code IN (410, 420) THEN 0.9
        WHEN corp_code = 586 THEN 0.225
        ELSE 0",AU_STAKE,corp_code,true
A3_STAKE,A3_Stake,,corp_code,false
"A3_STAKE_1
________WHEN_CORP_CODE_","1
        WHEN corp_code IN (578, 587) THEN 0.9
        WHEN corp_code = 586 THEN 0.675
        ELSE 0",A3_STAKE,corp_code,true
