XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
15,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-180,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
16,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
17,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-160,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
18,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-150,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
19,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-140,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
20,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-130,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
21,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
22,11,Midstream Operating Statement,1,Midstream,8,Cost of Gas,2,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,670-199,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
23,12,Midstream Operating Statement,1,Midstream,8,Cost of Gas,5,Imbalance - Cashout Purchases,115,Imbalance - Shipper Cashout Purchases,0,,0,,0,,0,,0,,,674-990,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,ImbalanceImbalance - Shipper Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
24,12,Midstream Operating Statement,1,Midstream,8,Cost of Gas,5,Imbalance - Cashout Purchases,115,Imbalance - Shipper Cashout Purchases,0,,0,,0,,0,,0,,,674-110,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,ImbalanceImbalance - Shipper Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
25,13,Midstream Operating Statement,1,Midstream,8,Cost of Gas,5,Imbalance - Cashout Purchases,116,Imbalance - PL Cashout Purchases,0,,0,,0,,0,,0,,,674-130,ACCOUNT_CODE,DIM_ACCOUNT,ENERTIA,EDW,1,false,false,false,false,false,true,false,false,true,false,Cost of Gas,ImbalanceImbalance - PL Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
