XREF_HIERARCHY_KEY,FK_REPORT_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,ID,ID_SOURCE,ID_TABLE,ID_SCHEMA,ID_DATABASE,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
14,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,Louisiana Restoration Fee,LAREST,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
15,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,Texas Regulatory Fee,TXREG,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
16,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,Texas Regulatory Fee-Purchaser Pays,TXREGPUR,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
17,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,Other Production Charges,OTHPRD,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
18,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,,OIL,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
19,41,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,,COND,PRODUCT_CODE,DIM_PRODUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxOil,,,Total Taxes,,,,,false
20,42,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,Louisiana Restoration Fee,LAREST,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,,,,,false
21,42,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,Texas Regulatory Fee,TXREG,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,,,,,false
22,42,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,Texas Regulatory Fee-Purchaser Pays,TXREGPUR,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,,,,,false
23,42,Lease Operating Statement,1,Upstream,6,Taxes,13,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,Other Production Charges,OTHPRD,DEDUCT_CODE,DIM_DEDUCT,ENERTIA,EDW,2,false,false,false,false,false,true,false,false,true,false,Taxes,TaxesProduction TaxNGL,,,Total Taxes,,,,,false
