PRODUCT_CODE,PRODUCT_NAME
CMNT,CEMENT
PPROD,PLANT PRODUCTS-DO NOT USE
GAS,GAS
210,WELLHEAD EQUIPMENT
WATER,WATER
110,LINE PIPE
105,BOTTOM HOLE EQPT (NOT TUBULAR)
300,NON-CONTROLLABLE EQUIP
400,JWMS COMPRESSOR SPARE PARTS
OIL,OIL
500,CRITICAL PARTS
OTHER,OTHER PRODUCTS
205,VALVE AND FITTINGS
999,CLEANUP
NGL,NATURAL GAS LIQUIDS
IGAS,INJECTION GAS
IWTR,INJECTION WATER
CHEM,CHEMICALS
700,FIELD SERVICES MATERIALS
200,SURFACE EQUIPMENT
100,TUBULARS
LAND,LAND
COND,CONDENSATE
