XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,Lease Operating Statement,1,Upstream,0,Volumes,5,Oil (BBL),5,Oil (BBL),999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,true,false,true,false,Upstream,UpstreamVolumesOil (BBL)Oil (BBL)N/A,,,Total MCFE,true,1,Total MCFE,Multiply,6,true
2,Lease Operating Statement,1,Upstream,0,Volumes,6,Gas (MCF),6,Gas (MCF),999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,true,false,true,false,Upstream,UpstreamVolumesGas (MCF)Gas (MCF)N/A,,,Total MCFE,true,,,,,true
3,Lease Operating Statement,1,Upstream,0,Volumes,7,NGL (GAL),7,NGL (GAL),999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,true,false,true,false,Upstream,UpstreamVolumesNGL (GAL)NGL (GAL)N/A,,,Total MCFE,true,1,Total MCFE,Divide,7,true
5,Lease Operating Statement,1,Upstream,2,Revenue,1,Oil,1,Oil,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueOil,,,Total Revenue,true,,,,,false
6,Lease Operating Statement,1,Upstream,2,Revenue,2,Gas,2,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueGas,,,Total Revenue,true,,,,,false
7,Lease Operating Statement,1,Upstream,2,Revenue,3,NGL,3,NGL,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Revenue,RevenueNGL,,,Total Revenue,true,,,,,false
13,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Ad Valorem,302,NGL,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewAd ValoremNGLN/A,,,Total Taxes,false,,,,,false
16,Lease Operating Statement,1,Upstream,6,Taxes_New,15,Severance Tax,302,NGL,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewSeverance TaxNGLN/A,,,Total Taxes,false,,,,,false
19,Lease Operating Statement,1,Upstream,6,Taxes_New,16,Conservation Taxes,302,NGL,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewConservation TaxesNGLN/A,,,Total Taxes,false,,,,,false
10,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Production Tax,302,NGL,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewProduction TaxNGLN/A,,,Total Taxes,false,,,,,false
14,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Ad Valorem,301,Oil,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewAd ValoremOilN/A,,,Total Taxes,false,,,,,false
17,Lease Operating Statement,1,Upstream,6,Taxes_New,15,Severance Tax,301,Oil,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewSeverance TaxOilN/A,,,Total Taxes,false,,,,,false
20,Lease Operating Statement,1,Upstream,6,Taxes_New,16,Conservation Taxes,301,Oil,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewConservation TaxesOilN/A,,,Total Taxes,false,,,,,false
11,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Production Tax,301,Oil,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewProduction TaxOilN/A,,,Total Taxes,false,,,,,false
12,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Ad Valorem,300,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewAd ValoremGasN/A,,,Total Taxes,false,,,,,false
15,Lease Operating Statement,1,Upstream,6,Taxes_New,15,Severance Tax,300,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewSeverance TaxGasN/A,,,Total Taxes,false,,,,,false
18,Lease Operating Statement,1,Upstream,6,Taxes_New,16,Conservation Taxes,300,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewConservation TaxesGasN/A,,,Total Taxes,false,,,,,false
9,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Production Tax,300,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewProduction TaxGasN/A,,,Total Taxes,false,,,,,false
21,Lease Operating Statement,1,Upstream,6,Taxes_New,14,Production Tax,300,Gas,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Upstream,UpstreamTaxes_NewProduction TaxGasN/A,,,Total Taxes,false,,,,,false
23,Lease Operating Statement,1,Upstream,8,Deducts,19,Transportation,19,Transportation,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTransportation,,,Total Deducts,false,,,,,false
24,Lease Operating Statement,1,Upstream,8,Deducts,20,Gathering,20,Gathering,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsGathering,,,Total Deducts,false,,,,,false
25,Lease Operating Statement,1,Upstream,8,Deducts,21,Treating & Processing,21,Treating & Processing,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsTreating & Processing,,,Total Deducts,false,,,,,false
26,Lease Operating Statement,1,Upstream,8,Deducts,22,Compression,22,Compression,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsCompression,,,Total Deducts,false,,,,,false
27,Lease Operating Statement,1,Upstream,8,Deducts,23,Other Production Charges,23,Other Production Charges,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Deducts,DeductsOther Production Charges,,,Total Deducts,false,,,,,false
115,Lease Operating Statement,1,Upstream,20,Capital Spend,50,Leasehold,8010,Leasehold Cost,999,N/A,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXLeasehold Cost,,,Total Capital Spend,false,,,,,false
116,Lease Operating Statement,1,Upstream,20,Capital Spend,51,Drilling,8110,Intangible Drilling Cost,3000,Non Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXIntangible Drilling CostNon Operated,,,Total Capital Spend,false,,,,,false
117,Lease Operating Statement,1,Upstream,20,Capital Spend,51,Drilling,8110,Intangible Drilling Cost,1000,Operated,0,,0,,0,,0,,false,false,false,false,false,true,false,false,true,false,Capital Spend,Capital SpendUpstream CAPEXIntangible Drilling CostOperated,,,Total Capital Spend,false,,,,,false
